Entry,TRYName,matchType,Confidence,GBIFStatus,rank,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Notes
719,Baccharis reticulata,EXACT,100,SYNONYM,SPECIES,Baccharis genistelloides,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
720,Baccharis salicifolia,EXACT,99,ACCEPTED,SPECIES,Baccharis salicina,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
721,Baccharis santelicis,EXACT,100,SYNONYM,SPECIES,Baccharis tola,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
722,Baccharis scoparia,EXACT,100,ACCEPTED,SPECIES,Baccharis scoparia,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
723,Baccharis serrula,EXACT,99,ACCEPTED,SPECIES,Baccharis serrula,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
724,Baccharis sp,EXACT,80,ACCEPTED,GENUS,Baccharis,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
725,Baccharis sp1,EXACT,96,ACCEPTED,GENUS,Baccharis,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
726,Baccharis trinervis,EXACT,100,ACCEPTED,SPECIES,Baccharis trinervis,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
727,Baccharis uncinella,EXACT,100,ACCEPTED,SPECIES,Baccharis uncinella,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
728,Bactris acanthocarpoides,EXACT,100,ACCEPTED,SPECIES,Bactris acanthocarpoides,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
729,Bactris barronis,EXACT,100,ACCEPTED,SPECIES,Bactris barronis,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
730,Bactris coloniata,EXACT,100,ACCEPTED,SPECIES,Bactris coloniata,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
731,Bactris coloradonis,EXACT,100,ACCEPTED,SPECIES,Bactris coloradonis,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
732,Bactris corossilla,EXACT,100,ACCEPTED,SPECIES,Bactris corossilla,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
733,Bactris cusea,FUZZY,95,SYNONYM,SPECIES,Bactris setulosa,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
734,Bactris elegans,EXACT,99,ACCEPTED,SPECIES,Bactris elegans,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
735,Bactris gasipaes,EXACT,100,ACCEPTED,SPECIES,Bactris gasipaes,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
736,Bactris major,EXACT,100,ACCEPTED,SPECIES,Bactris major,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
737,Bactris maraja,EXACT,100,ACCEPTED,SPECIES,Bactris maraja,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
