TRYName,Duplicated,Confidence,WFOMatchedName,WFOStatus,WFOAccepted,GBIFstatus,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Sources,Notes
Cecropia concolor,FALSE,1.00,Cecropia concolor,Accepted,Cecropia concolor,ACCEPTED,Cecropia concolor,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia distachya,FALSE,1.00,Cecropia distachya,Accepted,Cecropia distachya,ACCEPTED,Cecropia distachya,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia engleriana,FALSE,1.00,Cecropia engleriana,Accepted,Cecropia engleriana,ACCEPTED,Cecropia engleriana,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia ficifolia,FALSE,1.00,Cecropia ficifolia,Accepted,Cecropia ficifolia,ACCEPTED,Cecropia ficifolia,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia garciae,FALSE,1.00,Cecropia garciae,Accepted,Cecropia garciae,ACCEPTED,Cecropia garciae,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia glaziovii,FALSE,1.00,Cecropia glaziovii,Accepted,Cecropia glaziovii,ACCEPTED,Cecropia glaziovii,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia herthae,FALSE,1.00,Cecropia herthae,Accepted,Cecropia herthae,ACCEPTED,Cecropia herthae,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia hololeuca,FALSE,1.00,Cecropia hololeuca,Accepted,Cecropia hololeuca,ACCEPTED,Cecropia hololeuca,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,gbif,
Cecropia insignis,FALSE,1.00,Cecropia insignis,Accepted,Cecropia insignis,ACCEPTED,Cecropia insignis,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia latiloba,FALSE,1.00,Cecropia latiloba,Accepted,Cecropia latiloba,ACCEPTED,Cecropia latiloba,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia longipes,FALSE,1.00,Cecropia longipes,Accepted,Cecropia longipes,ACCEPTED,Cecropia longipes,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia marginalis,FALSE,1.00,Cecropia marginalis,Accepted,Cecropia marginalis,ACCEPTED,Cecropia marginalis,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia membranacea,FALSE,1.00,Cecropia membranacea,Accepted,Cecropia membranacea,ACCEPTED,Cecropia membranacea,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia metensis,FALSE,1.00,Cecropia metensis,Accepted,Cecropia metensis,ACCEPTED,Cecropia metensis,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia obtusa,FALSE,1.00,Cecropia obtusa,Accepted,Cecropia obtusa,ACCEPTED,Cecropia obtusa,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia obtusifolia,FALSE,1.00,Cecropia obtusifolia,Accepted,Cecropia obtusifolia,ACCEPTED,Cecropia obtusifolia,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia pachystachya,FALSE,1.00,Cecropia pachystachya,Accepted,Cecropia pachystachya,ACCEPTED,Cecropia pachystachya,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia palmata,FALSE,1,Cecropia palmata,Accepted,Cecropia palmata,ACCEPTED,Cecropia palmata,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia peltata,FALSE,1.00,Cecropia peltata,Accepted,Cecropia peltata,ACCEPTED,Cecropia peltata,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia purpurascens,FALSE,1.00,Cecropia purpurascens,Accepted,Cecropia purpurascens,ACCEPTED,Cecropia purpurascens,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,gbif,
Cecropia putumayonis,FALSE,1.00,Cecropia putumayonis,Accepted,Cecropia putumayonis,ACCEPTED,Cecropia putumayonis,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia schreberiana,FALSE,1.00,Cecropia schreberiana,Accepted,Cecropia schreberiana,ACCEPTED,Cecropia schreberiana,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia sciadophylla,FALSE,1.00,Cecropia sciadophylla,Accepted,Cecropia sciadophylla,ACCEPTED,Cecropia sciadophylla,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cedrela,FALSE,1.00,Cedrela,Accepted,Cedrela,ACCEPTED,Cedrela,Cedrela,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cedrela fissilis,FALSE,1.00,Cedrela fissilis,Accepted,Cedrela fissilis,ACCEPTED,Cedrela fissilis,Cedrela,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cedrela montana,FALSE,1.00,Cedrela montana,Accepted,Cedrela montana,ACCEPTED,Cedrela montana,Cedrela,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cedrela odorata,FALSE,1.00,Cedrela odorata,Accepted,Cedrela odorata,ACCEPTED,Cedrela odorata,Cedrela,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cedrelinga cateniformis,FALSE,1.00,Cedrelinga cateniformis,Accepted,Cedrelinga cateniformis,ACCEPTED,Cedrelinga cateniformis,Cedrelinga,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cedrella fissilis,FALSE,0.98,Cedrela fissilis,Accepted,Cedrela fissilis,ACCEPTED,Cedrela fissilis,Cedrela,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceiba,FALSE,1.00,Ceiba,Accepted,Ceiba,ACCEPTED,Ceiba,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceiba aesculifolia,FALSE,1,Ceiba aesculifolia,Accepted,Ceiba aesculifolia,ACCEPTED,Ceiba aesculifolia,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceiba aesculifolia subsp. parvifolia,FALSE,1.00,Ceiba aesculifolia subsp. parvifolia,Accepted,Ceiba aesculifolia,ACCEPTED,Ceiba aesculifolia,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,Excluded subspecies information (subsp. parvifolia)
