TRYName,Duplicated,Confidence,WFOMatchedName,WFOStatus,WFOAccepted,GBIFstatus,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Sources,Notes
Aa,FALSE,1.00,Aa,Accepted,Aa,ACCEPTED,Aa,Aa,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,wfo;gbif,
Abacaba (palm),FALSE,0.31,Oenocarpus bacaba,Accepted,Oenocarpus bacaba,ACCEPTED,Oenocarpus bacaba,Oenocarpus,Arecaceae,Arecales,Liliopsida,Tracheophyta,Palm,mlo,Common name provided; used literature and location to assign name
Abarema,FALSE,1,Abarema,Accepted,Abarema,ACCEPTED,Abarema,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema adenophora,FALSE,1.00,Abarema adenophora,Accepted,Abarema adenophora,ACCEPTED,Abarema adenophora,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema adenophorum,FALSE,1.00,Abarema adenophorum,Accepted,Abarema adenophorum,ACCEPTED,Abarema adenophora,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema alexandri var. troyana,FALSE,1.00,Abarema alexandri var. troyana,Accepted,Abarema alexandri,ACCEPTED,Abarema alexandri,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,Excluded variety information (var. troyana)
Abarema auriculata,FALSE,1,Abarema auriculata,Accepted,Abarema auriculata,ACCEPTED,Abarema auriculata,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema barbouriana,FALSE,1.00,Abarema barbouriana,Accepted,Abarema barbouriana,ACCEPTED,Abarema barbouriana,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema barbouriana var. barbouriana,FALSE,1.00,Abarema barbouriana var. barbouriana,Synonym,Abarema barbouriana,ACCEPTED,Abarema barbouriana,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema brachystachya,FALSE,1,Abarema brachystachya,Accepted,Abarema brachystachya,ACCEPTED,Abarema brachystachya,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema cochleata,FALSE,1.00,Abarema cochleata,Accepted,Abarema cochleata,ACCEPTED,Abarema cochleata,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Abarema cochliacarpos,FALSE,0.99,Abarema cochliocarpos,Accepted,Abarema cochliocarpos,ACCEPTED,Abarema cochliacarpos,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Abarema cochliocarpos,FALSE,1.00,Abarema cochliocarpos,Accepted,Abarema cochliocarpos,ACCEPTED,Abarema cochliocarpos,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Abarema curvicarpa,FALSE,1.00,Abarema curvicarpa,Accepted,Abarema curvicarpa,ACCEPTED,Abarema curvicarpa,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema jupunba,FALSE,1.00,Abarema jupunba,Accepted,Abarema jupunba,ACCEPTED,Abarema jupunba,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema jupunba var. jupunba,FALSE,1.00,Abarema jupunba var. jupunba,Synonym,Abarema jupunba,ACCEPTED,Abarema jupunba,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema laeta,FALSE,1.00,Abarema laeta,Accepted,Abarema laeta,ACCEPTED,Abarema laeta,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema langsdorffii,FALSE,1.00,Abarema langsdorffii,Accepted,Abarema langsdorffii,ACCEPTED,Abarema langsdorffii,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Abarema macradenia,FALSE,1.00,Abarema macradenia,Accepted,Abarema macradenia,ACCEPTED,Abarema macradenia,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema mataybifolia,FALSE,1.00,Abarema mataybifolia,Accepted,Abarema mataybifolia,ACCEPTED,Abarema mataybifolia,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema microcalyx,FALSE,1.00,Abarema microcalyx,Accepted,Abarema microcalyx,ACCEPTED,Abarema microcalyx,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif;mlo,Accepted according to GBIF
Abarema piresii,FALSE,1.00,Abarema piresii,Accepted,Abarema piresii,ACCEPTED,Abarema piresii,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abatia parviflora,FALSE,1.00,Abatia parviflora,Accepted,Abatia parviflora,ACCEPTED,Abatia parviflora,Abatia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abdilobarana,FALSE,0.31,Pouteria torta,Accepted,Pouteria torta,ACCEPTED,Pouteria torta,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; assumed abiurana; used literature and location to assign species
Abies durangensis,FALSE,1.00,Abies durangensis,Accepted,Abies durangensis,ACCEPTED,Abies durangensis,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,,wfo;gbif,
Abies religiosa,FALSE,1.00,Abies religiosa,Accepted,Abies religiosa,ACCEPTED,Abies religiosa,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,,wfo;gbif,
Abiu,FALSE,0.31,Pouteria reticulata,Accepted,Pouteria reticulata,ACCEPTED,Pouteria reticulata,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Abiu caramuri,FALSE,0.21,Pouteria elegans,Accepted,Pouteria elegans,ACCEPTED,Pouteria elegans,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Abiu casca grossa,FALSE,0.31,Pouteria bilocularis,Accepted,Pouteria bilocularis,ACCEPTED,Pouteria bilocularis,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Abiu cutiti,FALSE,0.31,Pouteria macrophylla,Accepted,Pouteria macrophylla,ACCEPTED,Pouteria macrophylla,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Abiu pitomba,FALSE,0.21,Pouteria,Accepted,Pouteria,ACCEPTED,Pouteria,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided but not found; abiu is typically associated with Pouteria so kept the genus only.
Abiurana,FALSE,0.31,Pouteria torta,Accepted,Pouteria torta,ACCEPTED,Pouteria torta,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign genus
Abrus precatorius,FALSE,1.00,Abrus precatorius,Accepted,Abrus precatorius,ACCEPTED,Abrus precatorius,Abrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta,FALSE,1.00,Abuta,Accepted,Abuta,ACCEPTED,Abuta,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta candollei,FALSE,1.00,Abuta candollei,Accepted,Abuta candollei,ACCEPTED,Abuta candollei,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta grandifolia,FALSE,1.00,Abuta grandifolia,Accepted,Abuta grandifolia,ACCEPTED,Abuta grandifolia,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta imene,FALSE,1.00,Abuta imene,Accepted,Abuta imene,ACCEPTED,Abuta imene,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta panamensis,FALSE,1.00,Abuta panamensis,Accepted,Abuta panamensis,ACCEPTED,Abuta panamensis,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta racemosa,FALSE,1.00,Abuta racemosa,Accepted,Abuta racemosa,ACCEPTED,Abuta racemosa,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta rufescens,FALSE,1.00,Abuta rufescens,Accepted,Abuta rufescens,ACCEPTED,Abuta rufescens,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia,FALSE,1.00,Acacia,Accepted,Acacia,ACCEPTED,Acacia,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia angustissima,FALSE,1.00,Acacia angustissima,Accepted,Acacia angustissima,SYNONYM,Acaciella angustissima,Acaciella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia boboensis,FALSE,1.00,Acacia boliviana,Synonym,Acaciella angustissima,ACCEPTED,Acaciella angustissima,Acaciella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;mlo,Acacia boboensis is an African species; WFO considers Acaciella angustissima synonym of Acacia angustissima; but GBIF and other sources consider Acaciella angustissima the accepted name
Acacia cornigera,FALSE,1,Acacia cornigera,Accepted,Acacia cornigera,ACCEPTED,Acacia cornigera,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia dolichostachya,FALSE,1,Acacia dolichostachya,Accepted,Acacia dolichostachya,SYNONYM,Mariosousa dolichostachya,Mariosousa,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia farnesiana,FALSE,1.00,Acacia farnesiana,Accepted,Acacia farnesiana,ACCEPTED,Acacia farnesiana,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia filiculoides,FALSE,1.00,Acacia filiculoides,Synonym,Acaciella angustissima,ACCEPTED,Acaciella angustissima,Acaciella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif;mlo,Synonym according to GBIF; WFO considers Acaciella angustissima synonym of Acacia angustissima; but GBIF and other sources consider Acaciella angustissima the accepted name
Acacia gaumeri,FALSE,1,Acacia gaumeri,Accepted,Acacia gaumeri,SYNONYM,Senegalia gaumeri,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia glomerosa,FALSE,1.00,Acacia glomerosa,Accepted,Acacia glomerosa,SYNONYM,Senegalia polyphylla,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia hindsii,FALSE,1,Acacia hindsii,Accepted,Acacia hindsii,SYNONYM,Vachellia hindsii,Vachellia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia macracantha,FALSE,1.00,Acacia macracantha,Accepted,Acacia macracantha,SYNONYM,Vachellia macracantha,Vachellia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia mangium,FALSE,1.00,Acacia mangium,Accepted,Acacia mangium,ACCEPTED,Acacia mangium,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia pennata,FALSE,1.00,Acacia pennata,Accepted,Acacia pennata,ACCEPTED,Acacia pennata,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia pennatula,FALSE,1,Acacia pennatula,Accepted,Acacia pennatula,SYNONYM,Vachellia pennatula,Vachellia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia picachensis,FALSE,1,Acacia picachensis,Accepted,Acacia picachensis,SYNONYM,Senegalia picachensis,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia polyphylla,FALSE,1,Acacia polyphylla,Accepted,Acacia polyphylla,ACCEPTED,Acacia,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia retinodes,FALSE,1.00,Acacia retinodes,Accepted,Acacia retinodes,ACCEPTED,Acacia retinodes,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia retusa,FALSE,1,Acacia retusa,Accepted,Acacia retusa,SYNONYM,Piptadenia retusa,Piptadenia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia riparia,FALSE,1.00,Acacia riparia,Accepted,Acacia riparia,ACCEPTED,Acacia,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acacia rosei,FALSE,1,Acacia rosei,Accepted,Acacia rosei,SYNONYM,Acaciella rosei,Acaciella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acalypha brasiliensis,FALSE,1.00,Acalypha brasiliensis,Accepted,Acalypha brasiliensis,ACCEPTED,Acalypha brasiliensis,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,gbif,
Acalypha cuneata,FALSE,1.00,Acalypha cuneata,Accepted,Acalypha cuneata,ACCEPTED,Acalypha cuneata,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acalypha diversifolia,FALSE,1.00,Acalypha diversifolia,Accepted,Acalypha diversifolia,ACCEPTED,Acalypha diversifolia,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acalypha gracilis,FALSE,1.00,Acalypha gracilis,Accepted,Acalypha gracilis,ACCEPTED,Acalypha gracilis,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acalypha macrostachya,FALSE,1.00,Acalypha macrostachya,Accepted,Acalypha macrostachya,ACCEPTED,Acalypha macrostachya,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acalypha pub,FALSE,0.31,Acalypha pubiflora,Accepted,Acalypha pubiflora,ACCEPTED,Acalypha pubiflora,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,mlo,Epithet likely truncated
Acalypha pubiflora,FALSE,1.00,Acalypha pubiflora,Accepted,Acalypha pubiflora,ACCEPTED,Acalypha pubiflora,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acalypha sharpdent,FALSE,0.21,Acalypha,Accepted,Acalypha,ACCEPTED,Acalypha,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; kept the genus as it is common at the sampling location
Acalypha sharpub,FALSE,0.21,Acalypha,Accepted,Acalypha,ACCEPTED,Acalypha,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; kept the genus as it is common at the sampling location
Acalypha skutchii,FALSE,1.00,Acalypha skutchii,Accepted,Acalypha skutchii,ACCEPTED,Acalypha skutchii,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acanthella sprucei,FALSE,1.00,Acanthella sprucei,Accepted,Acanthella sprucei,ACCEPTED,Acanthella sprucei,Acanthella,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acanthocereus occidentalis,FALSE,1.00,Acanthocereus occidentalis,Accepted,Acanthocereus occidentalis,SYNONYM,Acanthocereus tetragonus,Acanthocereus,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acanthocereus tetragonus,FALSE,1.00,Acanthocereus tetragonus,Accepted,Acanthocereus tetragonus,ACCEPTED,Acanthocereus tetragonus,Acanthocereus,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acanthocladus scleroxylon,FALSE,1.00,Acanthocladus scleroxylon,Accepted,Acanthocladus scleroxylon,ACCEPTED,Acanthocladus scleroxylon,Acanthocladus,Polygalaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acanthococos,FALSE,1.00,Acanthococos,Synonym,Acrocomia,ACCEPTED,Acrocomia,Acrocomia,Arecaceae,Arecales,Liliopsida,Tracheophyta,,tropicos,
Acanthostyles buniifolius,FALSE,1.00,Acanthostyles buniifolius,Accepted,Acanthostyles buniifolius,ACCEPTED,Acanthostyles buniifolius,Acanthostyles,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acanthosyris annonagustata,FALSE,1.00,Acanthosyris annonagustata,Accepted,Acanthosyris annonagustata,ACCEPTED,Acanthosyris annonagustata,Acanthosyris,Cervantesiaceae,Santalales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acanthus pallens,FALSE,0.21,Acanthus,Accepted,Acanthus,ACCEPTED,Acanthus,Acanthus,Acanthaceae,Lamiales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; kept the genus as it is common at the sampling location
Acardium excelsum,FALSE,0.96,Anacardium excelsum,Accepted,Anacardium excelsum,ACCEPTED,Anacardium excelsum,Anacardium,Anacardiaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acariquara,FALSE,0.31,Minquartia guianensis,Accepted,Minquartia guianensis,ACCEPTED,Minquartia guianensis,Minquartia,Coulaceae,Santalales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; assumed acariquarana; used literature and location to assign species
Acariquarana,FALSE,0.31,Minquartia guianensis,Accepted,Minquartia guianensis,ACCEPTED,Minquartia guianensis,Minquartia,Coulaceae,Santalales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Acaulimalva purdiaei,FALSE,1.00,Acaulimalva purdiaei,Accepted,Acaulimalva purdiaei,ACCEPTED,Acaulimalva purdiaei,Acaulimalva,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acca sellowiana,FALSE,1.00,Acca sellowiana,Accepted,Acca sellowiana,SYNONYM,Feijoa sellowiana,Feijoa,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,,gbif,
Acer rubrum,FALSE,1.00,Acer rubrum,Accepted,Acer rubrum,ACCEPTED,Acer rubrum,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Achatocarpus gracilis,FALSE,1,Achatocarpus gracilis,Accepted,Achatocarpus gracilis,ACCEPTED,Achatocarpus gracilis,Achatocarpus,Achatocarpaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Achatocarpus praecox,FALSE,1.00,Achatocarpus praecox,Accepted,Achatocarpus praecox,ACCEPTED,Achatocarpus praecox,Achatocarpus,Achatocarpaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,gbif,
Achicha,FALSE,0.31,Sterculia speciosa,Accepted,Sterculia speciosa,ACCEPTED,Sterculia speciosa,Sterculia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Achua,FALSE,0.31,Sacoglottis guianensis,Accepted,Sacoglottis guianensis,ACCEPTED,Sacoglottis guianensis,Sacoglottis,Humiriaceae,Malpighiales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign name
Acianthera verecunda,FALSE,1.00,Acianthera verecunda,Accepted,Acianthera verecunda,ACCEPTED,Acianthera verecunda,Acianthera,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,wfo;gbif,
Acidoton nicaraguensis,FALSE,1.00,Acidoton nicaraguensis,Accepted,Acidoton nicaraguensis,SYNONYM,Gitara nicaraguensis,Gitara,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acinodendron pohlianum,FALSE,1.00,Acinodendron pohlianum,Accepted,Acinodendron pohlianum,SYNONYM,Miconia leucocarpa,Miconia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acinodendron quadrangulare,FALSE,1.00,Acinodendron quadrangulare,Accepted,Acinodendron quadrangulare,SYNONYM,Miconia quadrangularis,Miconia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acinodendron rigidum,FALSE,1.00,Acinodendron rigidum,Accepted,Acinodendron rigidum,SYNONYM,Miconia rigida,Miconia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acinodendron sintenisii,FALSE,1.00,Acinodendron sintenisii,Accepted,Acinodendron sintenisii,SYNONYM,Miconia sintenisii,Miconia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acioa longipendula,FALSE,,[No match found],,,ACCEPTED,Acioa longipendula,Acioa,Chrysobalanaceae,Malpighiales,Magnoliopsida,Tracheophyta,,gbif,
Acnistus arborescens,FALSE,1.00,Acnistus arborescens,Accepted,Acnistus arborescens,ACCEPTED,Acnistus arborescens,Acnistus,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acosmium,FALSE,1.00,Acosmium,Accepted,Acosmium,ACCEPTED,Acosmium,Acosmium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acosmium cardenasii,FALSE,1.00,Acosmium cardenasii,Accepted,Acosmium cardenasii,ACCEPTED,Acosmium cardenasii,Acosmium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acosmium dasycarpum,FALSE,1.00,Acosmium dasycarpum,Accepted,Acosmium dasycarpum,SYNONYM,Leptolobium dasycarpum,Leptolobium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acosmium elegans,FALSE,0.31,Acosmium subelegans,Accepted,Acosmium subelegans,SYNONYM,Leptolobium elegans,Leptolobium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; replaced with similar epithet and checked for occurrence in the sampled region
Acosmium panamense,FALSE,1.00,Acosmium panamense,Accepted,Acosmium panamense,SYNONYM,Leptolobium panamense,Leptolobium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Acosmium subelegans,FALSE,1.00,Acosmium subelegans,Accepted,Acosmium subelegans,SYNONYM,Leptolobium elegans,Leptolobium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Acrocomia aculeata,FALSE,1.00,Acrocomia aculeata,Accepted,Acrocomia aculeata,ACCEPTED,Acrocomia aculeata,Acrocomia,Arecaceae,Arecales,Liliopsida,Tracheophyta,,wfo;gbif,
Acrostichum danaeifolium,FALSE,1.00,Acrostichum danaeifolium,Accepted,Acrostichum danaeifolium,ACCEPTED,Acrostichum danaeifolium,Acrostichum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,,wfo;gbif,
Actinocephalus geniculatus,FALSE,,[No match found],,,ACCEPTED,Actinocephalus geniculatus,Actinocephalus,Eriocaulaceae,Poales,Liliopsida,Tracheophyta,,gbif,
Actinocephalus polyanthus,FALSE,1.00,Actinocephalus polyanthus,Accepted,Actinocephalus polyanthus,ACCEPTED,Actinocephalus polyanthus,Actinocephalus,Eriocaulaceae,Poales,Liliopsida,Tracheophyta,,wfo;gbif,
Actinostachys pennula,FALSE,1.00,Actinostachys pennula,Accepted,Actinostachys pennula,ACCEPTED,Actinostachys pennula,Actinostachys,Schizaeaceae,Schizaeales,Polypodiopsida,Tracheophyta,,wfo;gbif,
Actinostachys subtrijuga,FALSE,1.00,Actinostachys subtrijuga,Accepted,Actinostachys subtrijuga,ACCEPTED,Actinostachys subtrijuga,Actinostachys,Schizaeaceae,Schizaeales,Polypodiopsida,Tracheophyta,,wfo;gbif,
Actinostemon concepcionis,FALSE,1.00,Actinostemon concepcionis,Accepted,Actinostemon concepcionis,ACCEPTED,Actinostemon concepcionis,Actinostemon,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Actinostemon concolor,FALSE,1.00,Actinostemon concolor,Accepted,Actinostemon concolor,ACCEPTED,Actinostemon concolor,Actinostemon,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,gbif,
Actinostemon klotzschii,FALSE,1.00,Actinostemon klotzschii,Accepted,Actinostemon klotzschii,ACCEPTED,Actinostemon klotzschii,Actinostemon,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adelia barbinervis,FALSE,1,Adelia barbinervis,Accepted,Adelia barbinervis,ACCEPTED,Adelia barbinervis,Adelia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adelia oaxacana,FALSE,1,Adelia oaxacana,Accepted,Adelia oaxacana,ACCEPTED,Adelia oaxacana,Adelia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adelia ricinella,FALSE,1,Adelia ricinella,Accepted,Adelia ricinella,ACCEPTED,Adelia ricinella,Adelia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adelia triloba,FALSE,1.00,Adelia triloba,Accepted,Adelia triloba,ACCEPTED,Adelia triloba,Adelia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adelobotrys adscendens,FALSE,1.00,Adelobotrys adscendens,Accepted,Adelobotrys adscendens,ACCEPTED,Adelobotrys adscendens,Adelobotrys,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adelobotrys scandens,FALSE,1.00,Adelobotrys scandens,Accepted,Adelobotrys scandens,ACCEPTED,Adelobotrys scandens,Adelobotrys,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adelphia hiraea,FALSE,1.00,Adelphia hiraea,Accepted,Adelphia hiraea,ACCEPTED,Adelphia hiraea,Adelphia,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adenaria floribunda,FALSE,1.00,Adenaria floribunda,Accepted,Adenaria floribunda,ACCEPTED,Adenaria floribunda,Adenaria,Lythraceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adenocalymma apurense,FALSE,1.00,Adenocalymma apurense,Accepted,Adenocalymma apurense,ACCEPTED,Adenocalymma apurense,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adenocalymma arthropetiolatum,FALSE,1.00,Adenocalymma arthropetiolatum,Accepted,Adenocalymma arthropetiolatum,ACCEPTED,Adenocalymma arthropetiolatum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adenocalymma bracteatum,FALSE,1.00,Adenocalymma bracteatum,Accepted,Adenocalymma bracteatum,ACCEPTED,Adenocalymma bracteatum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adenocalymma cladotrichum,FALSE,1.00,Adenocalymma cladotrichum,Accepted,Adenocalymma cladotrichum,ACCEPTED,Adenocalymma cladotrichum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adenocalymma impressum,FALSE,1.00,Adenocalymma impressum,Accepted,Adenocalymma impressum,ACCEPTED,Adenocalymma impressum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Adenocalymma inundatum,FALSE,1.00,Adenocalymma inundatum,Accepted,Adenocalymma inundatum,ACCEPTED,Adenocalymma inundatum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
