observation,LastName,Author,ScientificName,lon,lat,alt,site,country,continent,biome,ymean_temp,ymean_prec,ymean_pet,soil_type,sample_date,growth_form,plant_woodiness,leaf_phenology,sun_shade,dbh,height,a_amax,a_gsw,a_vcmax,a_jmax,a_rdmax,m_amax,SLA,single_leaf_area,wood_dens,leaf_dens,leaf_carbon,leaf_nitrogen,leaf_n_area,leaf_phosphorus,leaf_c2n,leaf_c2p,leaf_n2p,leaf_thick,wood_water_sat,wood_hydcond,wood_water_store,xylem_p12,xylem_p50,xylem_p88,leaf_pio_full,leaf_psi_tlp,leaf_elas_mod,leaf_rwc_tlp,leaf_toughness,leaf_f_punct,max_height,experiment,ValueKind,Count,reference,doi,Notes
336,Vaessen,Rens Vaessen,Unonopsis rufescens,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,2.7,,,,,,,,19.6,,,,,,,,,,,0.23,,,,,,,,,,,0.4482,0.0408,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
337,Vaessen,Rens Vaessen,,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.9,,,,,,,,17.1,,,,,,,,,,,0.34,,,,,,,,,,,0.5897,0.0536,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
338,Vaessen,Rens Vaessen,Trattinnickia rhoifolia,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,2.4,,,,,,,,18,,,,,,,,,,,0.25,,,,,,,,,,,0.5425,0.0493,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
339,Vaessen,Rens Vaessen,Pouteria venosa,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.7,,,,,,,,21.7,,,,,,,,,,,0.15,,,,,,,,,,,0.7548,0.0686,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
340,Vaessen,Rens Vaessen,Licania,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.5,,,,,,,,18.9,,,,,,,,,,,0.2,,,,,,,,,,,0.5425,0.0493,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
341,Vaessen,Rens Vaessen,Trattinnickia rhoifolia,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,2.1,,,,,,,,18.2,,,,,,,,,,,0.23,,,,,,,,,,,0.5661,0.0515,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
342,Vaessen,Rens Vaessen,,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.5,,,,,,,,16.4,,,,,,,,,,,0.35,,,,,,,,,,,0.6840,0.0622,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
343,Vaessen,Rens Vaessen,Quiina guianensis,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,2.4,,,,,,,,20.6,,,,,,,,,,,0.22,,,,,,,,,,,0.5897,0.0536,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
344,Vaessen,Rens Vaessen,Protium sagotianum,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.9,,,,,,,,16.7,,,,,,,,,,,0.21,,,,,,,,,,,0.7076,0.0644,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
345,Vaessen,Rens Vaessen,Talisia sylvatica,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.3,,,,,,,,12.4,,,,,,,,,,,0.23,,,,,,,,,,,0.6133,0.0558,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
346,Vaessen,Rens Vaessen,Myrcia decorticans,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.4,,,,,,,,15.3,,,,,,,,,,,0.22,,,,,,,,,,,0.7548,0.0686,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
347,Vaessen,Rens Vaessen,Inga alba,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.9,,,,,,,,21.7,,,,,,,,,,,0.22,,,,,,,,,,,0.4953,0.0450,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
348,Vaessen,Rens Vaessen,Pouteria venosa,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.8,,,,,,,,16.9,,,,,,,,,,,0.21,,,,,,,,,,,0.5189,0.0472,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
349,Vaessen,Rens Vaessen,,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,2.7,,,,,,,,17.5,,,,,,,,,,,0.28,,,,,,,,,,,0.6133,0.0558,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
350,Vaessen,Rens Vaessen,Talisia sylvatica,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,2,,,,,,,,15.2,,,,,,,,,,,0.18,,,,,,,,,,,0.5897,0.0536,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
351,Vaessen,Rens Vaessen,,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,3.3,,,,,,,,19.8,,,,,,,,,,,0.21,,,,,,,,,,,0.8492,0.0772,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
352,Vaessen,Rens Vaessen,Candolleodendron brachystachyum,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.5,,,,,,,,16.7,,,,,,,,,,,0.16,,,,,,,,,,,0.5897,0.0536,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
353,Vaessen,Rens Vaessen,Quararibea duckei,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,4.3,,,,,,,,20.1,,,,,,,,,,,0.46,,,,,,,,,,,0.4246,0.0386,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
354,Vaessen,Rens Vaessen,Licania,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.5,,,,,,,,23.1,,,,,,,,,,,0.23,,,,,,,,,,,0.5189,0.0472,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
355,Vaessen,Rens Vaessen,Trichilia schomburgkii,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.8,,,,,,,,14.8,,,,,,,,,,,0.28,,,,,,,,,,,0.6840,0.0622,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
356,Vaessen,Rens Vaessen,Candolleodendron brachystachyum,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.7,,,,,,,,18.4,,,,,,,,,,,0.15,,,,,,,,,,,0.5189,0.0472,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
357,Vaessen,Rens Vaessen,Myrcia decorticans,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.4,,,,,,,,15.3,,,,,,,,,,,0.24,,,,,,,,,,,0.7312,0.0665,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
358,Vaessen,Rens Vaessen,Unonopsis rufescens,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.6,,,,,,,,16,,,,,,,,,,,0.29,,,,,,,,,,,0.4953,0.0450,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
359,Vaessen,Rens Vaessen,Quiina guianensis,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,3.2,,,,,,,,19.7,,,,,,,,,,,0.29,,,,,,,,,,,0.3774,0.0343,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
360,Vaessen,Rens Vaessen,Protium apiculatum,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.7,,,,,,,,21.5,,,,,,,,,,,0.2,,,,,,,,,,,0.4718,0.0429,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
361,Vaessen,Rens Vaessen,Pouteria coriacea,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,2.3,,,,,,,,19.4,,,,,,,,,,,0.15,,,,,,,,,,,0.7548,0.0686,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
362,Vaessen,Rens Vaessen,Myrcia decorticans,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.4,,,,,,,,14.9,,,,,,,,,,,0.25,,,,,,,,,,,0.8492,0.0772,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
363,Vaessen,Rens Vaessen,Tabernaemontana undulata,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,2.5,,,,,,,,23.5,,,,,,,,,,,0.35,,,,,,,,,,,0.4010,0.0365,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
364,Vaessen,Rens Vaessen,,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.8,,,,,,,,16.4,,,,,,,,,,,0.16,,,,,,,,,,,0.5897,0.0536,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
365,Vaessen,Rens Vaessen,,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.4,,,,,,,,22.6,,,,,,,,,,,0.21,,,,,,,,,,,0.3774,0.0343,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
366,Vaessen,Rens Vaessen,,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.5,,,,,,,,19.4,,,,,,,,,,,0.2,,,,,,,,,,,0.7076,0.0644,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
367,Vaessen,Rens Vaessen,Couepia caryophylloides,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,3,,,,,,,,13.8,,,,,,,,,,,0.42,,,,,,,,,,,0.8020,0.0729,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
368,Vaessen,Rens Vaessen,Siparuna cuspidata,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1,,,,,,,,22.6,,,,,,,,,,,0.23,,,,,,,,,,,0.3302,0.0300,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
369,Vaessen,Rens Vaessen,Unonopsis stipitata,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.4,,,,,,,,21.4,,,,,,,,,,,0.26,,,,,,,,,,,0.4718,0.0429,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
370,Vaessen,Rens Vaessen,Fusaea longifolia,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.7,,,,,,,,22.7,,,,,,,,,,,0.32,,,,,,,,,,,0.4482,0.0408,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
371,Vaessen,Rens Vaessen,Duguetia calycina,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.4,,,,,,,,23.7,,,,,,,,,,,0.24,,,,,,,,,,,0.4953,0.0450,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
372,Vaessen,Rens Vaessen,Talisia sylvatica,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,1.6,,,,,,,,12.4,,,,,,,,,,,0.3,,,,,,,,,,,0.6840,0.0622,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
373,Vaessen,Rens Vaessen,Fusaea longifolia,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,3.4,,,,,,,,18.2,,,,,,,,,,,0.31,,,,,,,,,,,0.5425,0.0493,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
374,Vaessen,Rens Vaessen,Licania,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,,,,,2018-09-01,Tree,Woody,,,0.7,,,,,,,,16.4,,,,,,,,,,,0.27,,,,,,,,,,,0.6605,0.0601,,,Single,1,Vaessen R; Jansen PA; Richard-Hansen C et al. 2023. Defaunation changes leaf trait composition of recruit communities in tropical forests in French Guiana. Ecology 104:e3872. doi:10.1002/ecy.3872,https://doi.org/10.1002/ecy.3872,Single trees included. No light conditions provided; likely shaded. Leaf toughness was computed by converting pressure (kgf/cm2) to N by assuming puncture element diameter of 3.5 mm. This value comes from the dynamometer specifications (Wagner force dial FDN20).
